date,room_number,room_type,capacity,bed_count,bed_size,price,discount_rate,stay_status,bar_rate,currency,season,day_of_week,demand_level,event_flag,min_los,rate_plan,channel,market_segment,booking_lead_time_days,simulated_target_occupancy_pct
2024-06-06,201,Standard King,2,1,King,429.00,0.00,occupied,429.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,77,83.0
2024-06-06,202,Standard King,2,1,King,409.00,0.06,occupied,429.00,USD,Peak Summer,Thursday,High,Summer Peak,1,PACKAGE,Direct,Leisure Package,56,83.0
2024-06-06,203,Standard King,2,1,King,419.00,0.04,occupied,429.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,11,83.0
2024-06-06,204,Standard King,2,1,King,429.00,0.00,vacant,429.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Available Inventory,,83.0
2024-06-06,205,Standard King,2,1,King,409.00,0.05,occupied,429.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,95,83.0
2024-06-06,206,Standard King,2,1,King,409.00,0.06,occupied,429.00,USD,Peak Summer,Thursday,High,Summer Peak,1,PACKAGE,Direct,Leisure Package,43,83.0
2024-06-06,207,Standard King,2,1,King,429.00,0.00,occupied,429.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,57,83.0
2024-06-06,208,Standard King,2,1,King,409.00,0.05,occupied,429.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,125,83.0
2024-06-06,209,Standard King,2,1,King,429.00,0.00,occupied,429.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,60,83.0
2024-06-06,210,Standard King,2,1,King,429.00,0.00,occupied,429.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,24,83.0
2024-06-06,211,Standard King,2,1,King,419.00,0.04,occupied,429.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,40,83.0
2024-06-06,212,Standard King,2,1,King,429.00,0.00,occupied,429.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,34,83.0
2024-06-06,213,Standard King,2,1,King,429.00,0.00,occupied,429.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,67,83.0
2024-06-06,214,Standard King,2,1,King,419.00,0.04,occupied,429.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,44,83.0
2024-06-06,215,Standard King,2,1,King,429.00,0.00,occupied,429.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,59,83.0
2024-06-06,216,Standard King,2,1,King,419.00,0.04,occupied,429.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,101,83.0
2024-06-06,217,Standard Two Queen,4,2,Two Queen,469.00,0.00,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,112,83.0
2024-06-06,218,Standard Two Queen,4,2,Two Queen,449.00,0.05,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,75,83.0
2024-06-06,219,Standard Two Queen,4,2,Two Queen,449.00,0.06,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,PACKAGE,Direct,Leisure Package,77,83.0
2024-06-06,301,Standard Two Queen,4,2,Two Queen,449.00,0.05,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,60,83.0
2024-06-06,302,Standard Two Queen,4,2,Two Queen,459.00,0.04,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,22,83.0
2024-06-06,303,Standard Two Queen,4,2,Two Queen,469.00,0.00,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,31,83.0
2024-06-06,304,Standard Two Queen,4,2,Two Queen,419.00,0.12,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,GROUP_CONTRACT,Group,Group,214,83.0
2024-06-06,305,Standard Two Queen,4,2,Two Queen,469.00,0.00,vacant,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Available Inventory,,83.0
