field,definition
date,"Target calendar date for the room record, ISO format YYYY-MM-DD."
room_number,Unique simulated hotel room number.
room_type,"Simulated room category; includes standard, ocean-view, beachfront, premium, and suite products."
capacity,Maximum number of guests for that room type.
bed_count,Number of beds or sleeping surfaces.
bed_size,Bed size or bed configuration.
price,"Final assigned nightly price after discount, in USD."
discount_rate,Decimal discount applied to BAR; 0.10 means 10%.
stay_status,occupied or vacant.
bar_rate,"Simulated best available rate before discount, in USD."
currency,Currency code.
season,Demand season label used by the simulation.
day_of_week,Calendar day of week.
demand_level,"Need, Low, Medium, High, or Compression based on simulated demand."
event_flag,Local demand/date pattern used by the pricing model; not a claim of actual event inventory.
min_los,Minimum length-of-stay rule simulated for the date.
rate_plan,Simulated RMS/rate-plan code.
channel,Simulated booking or availability channel.
market_segment,Simulated market segment.
booking_lead_time_days,Simulated lead time for occupied rooms; blank for vacant rooms.
simulated_target_occupancy_pct,Date-level target occupancy percentage used to drive price/status simulation.
